Video title,Video publish time,End screen element clicks,Card clicks,Views from playlist,Comments added,Shares,Likes (vs. dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Average percentage viewed (%),Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Highest Chase in ODI History By Pakistan Against Australia | Pakistan vs Australia |ODI | PCB | MM2A,9-Jul-23,46407,6,54,1090,14133,96.33,2285,59924,667,15737,26.94,8615905,675663.0801,15070,0:04:42,138426363,4.97
6️⃣6️⃣6️⃣6️⃣6️⃣6️⃣| Fauji's Power Show Against Kiwis Bowlers | Pakistan vs New Zealand | PCB | M2B2A,2-May-23,21766,0,6,271,20149,96.21,638,16188,116,4734,53.67,2954503,51530.3942,4618,0:01:02,31555785,8.24
Game Changing 18th Over | Iftikhar Ahmed vs Adam Milne | Pakistan vs New Zealand | PCB | M2B2A,17-Apr-23,18454,0,,44,3993,97.13,149,5046,41,1540,56.99,1005510,17669.6142,1499,0:01:03,13185024,6.26
Pakistan Chased the Target of 337 Runs | Shaheens Creates History Over Kiwis | ODI | PCB | M2B2A,21-Jan-24,15834,1,1,258,4505,97.06,519,17160,189,3952,33.03,2309683,141148.4333,3763,0:03:40,34384053,5.55
Highlights | South Africa vs Pakistan | 3rd T20I 2021 | CSA | MJ2A,25-Aug-23,14776,1,5,163,3038,96.52,538,14934,161,2868,30.14,1788851,164725.9146,2707,0:05:31,27855993,5.26
Let's Rewind Pakistan's 1️⃣0️⃣- Wicket Victory | Babar's Century & Rizwan's Power Show | PCB | MU2A,4-Sep-23,14566,2,6,290,3904,98.02,388,19213,179,2651,38.78,1694496,88897.3777,2472,0:03:08,26539074,4.9
6 - 6 - 6 | Shahid Afridi vs Chris Woakes | Pakistan vs England | 2nd T20I 2015 | PCB | MA2A,1-Apr-23,14361,8,15,407,9775,94.93,1350,25293,311,14899,42.64,4690356,236130.073,14588,0:03:01,67653327,4.86
Biggest Fights in HBL PSL History | HBL PSL | MI2A,19-Jan-23,11778,0,1,352,1828,95.47,464,9774,149,1678,47.02,1047720,68277.7057,1529,0:03:54,17340158,4.48
Worst Powerplay By Australia | Pakistan vs Australia | PCB | MA2L,12-Aug-22,10882,0,6,117,1711,96.55,248,6931,110,1523,38.27,1323647,55445.2111,1413,0:02:30,16868342,6.18
Pakistan Wins The ODI Series Against Australia After 20 Long Years | ODI | PCB | MM2A,10-Jul-23,10810,1,39,247,2922,96.91,618,19385,231,3661,27.23,2607606,185980.878,3430,0:04:16,29597139,6.85
Shahid Afridi The HERO | Nail Biting Thriller | Pakistan vs England | PCB | MA2A,1-Apr-23,10066,1,7,303,7729,94.9,951,17713,197,7651,36.23,3553569,193135.5689,7454,0:03:15,64280571,4.41
England All Out on 72 | Pakistan Famous Victory vs England | PCB | MA2T,21-Nov-22,9495,0,,133,1527,97.11,162,5448,49,1286,37.06,1076491,57734.3062,1237,0:03:13,15137451,5.92
Highlights | Pakistan vs West Indies | T20I | PCB | MK2L,19-May-23,9074,2,8,39,4037,94.72,453,8120,91,3687,31.27,1196295,99331.0338,3596,0:04:58,22574350,4.16
Australia All Out on 89 | Historical Win For Pakistan | Australia vs Pakistan | PCB | MA2L,18-Mar-22,8032,1,5,148,2149,95.52,454,9675,145,2331,32.66,1557544,164914.3191,2186,0:06:21,22667797,5.02
Hyderabad ✈️ Ahmedabad | Pakistan Captain is All Set For The ICC Captains Day ©️ | PCB | MA2A,4-Oct-23,7693,3,70,617,2581,98.8,247,20346,137,2420,67.52,1686802,22460.83,2283,0:00:47,12461906,12.32
Another High Scoring Game | Sultans Chase Huge Score | Quetta vs Multan | HBL PSL 2023 | MI2A,15-Feb-24,7683,0,2,116,1401,96.45,349,9484,94,3358,36.56,862059,101827.2298,3264,0:07:05,16006606,3.91
Highlights | South Africa vs Pakistan | ODI | CSA | MJ2A,28-Jun-23,7572,2,15,452,3578,96.95,605,19213,217,4896,27.84,2417673,203451.1215,4679,0:05:02,37759641,5.17
Pakistan vs Australia | 1st T20I Highlights | PCB | MA2E,12-May-21,7220,0,95,56,1364,96.76,148,4419,51,1532,24.1,968582,75407.0433,1481,0:04:40,15672543,5.17
Super Over Thriller Match | Highlights | Pakistan vs Australia | PCB | MA2L,4-Feb-23,6923,2,1,138,3444,94.26,807,13242,120,4387,37.57,1961471,252792.2516,4267,0:07:43,31329854,4.45
150+ KPH | Fastest Bowling Spell Ever By Haris Rauf | HBL PSL 8 | MI2A,15-Mar-23,6558,0,11,52,4870,98.21,49,2682,23,324,67.05,239722,3571.6835,301,0:00:53,2473365,8.13
Chris Gayle Wins Everyone's Heart | HBLPSL | MG2T,6-Jan-22,6532,0,17,76,1276,97.27,139,4945,76,2434,33.17,1143788,51846.291,2358,0:02:43,16894351,5.89
New Zealand Defend Lowest Target Against Pakistan | Pakistan vs New Zealand Test | PCB | MA2L,22-Dec-22,6508,1,4,321,421,97.57,137,5490,70,694,34.99,1007627,47107.0431,624,0:02:48,13262778,6.7
Unbelievable Run Chase By Pakistan | Pakistan vs West Indies | PCB | MA2T,14-Jun-22,6416,2,16,133,4681,96.71,420,12330,169,3423,26.13,2059587,150528.8185,3254,0:04:23,33038203,5.46
Shaheen Shah Afridi's First Over Wicket Obsession | Pakistan vs New Zealand | 1st T20I 2024 | PCB,18-Apr-24,6374,0,2,281,2382,98.72,177,13700,88,2301,65.76,926239,20134.6637,2213,0:01:18,7867433,9.66
Most Thrilling Last Over in T20I Cricket History | Pakistan vs New Zealand | T20I | PCB | M2B2A,17-Sep-23,6152,0,2,111,1725,94.06,468,7415,57,3466,38.27,2198489,83905.5614,3409,0:02:17,19219955,9.12
1st Innings Highlights | Pakistan vs New Zealand | 2nd T20I 2024 | PCB | M2E2A,20-Apr-24,6146,0,16,693,3455,97.73,403,17384,128,3558,49.89,1448474,101569.4107,3430,0:04:12,12718587,9.76
Shaheen Afridi is on Fire | Expensive Last Over |6️⃣4️⃣6️⃣6️⃣| Pakistan vs New Zealand | PCB | M2B2A,5-May-23,5980,2,3,57,4721,96.74,129,3832,35,1102,51.7,662306,11223.8389,1067,0:01:01,8078048,6.51
Father vs Son | Azam Khan vs Shahid Afridi | Azam Khan Huge Sixes | HBL PSL | ML2A,21-Jun-23,5646,2,2,464,1813,95.61,352,7670,105,1222,37.99,2826812,64727.2915,1117,0:01:22,25589270,9.73
AB de Villiers vs Mohammad Amir | Class vs Class | Lahore vs Karachi | HBL PSL | MB2A,31-May-23,5640,4,12,286,5749,98.17,356,19059,173,2711,54.24,1808086,45767.7846,2538,0:01:31,24764010,6.56
Highlights | Pakistan vs England | T20I | PCB | MU1T,11-Nov-22,5571,0,16,92,4914,95.44,545,11402,117,3283,28.79,1370119,113086.3283,3166,0:04:57,14978800,7.23
Highlights | Pakistan vs Australia | ODI | PCB | MM2A,23-Aug-23,5562,0,,210,7675,94.17,971,15677,192,5472,27.74,1703373,123775.2486,5280,0:04:21,19922883,6.97
Pakistan are 71-5 | Then Shahid Afridi Changed the Whole Game | Pakistan vs Sri Lanka | PCB | MA2A,5-Apr-23,5395,0,157,124,953,96.08,172,4215,50,1229,38.65,1248547,65018.0596,1179,0:03:07,13290923,7.72
Which Knock is Best of Fakhar Zaman? | 1️⃣9️⃣3️⃣ OR 1️⃣8️⃣0️⃣*,30-Jul-23,5342,2,3,156,2787,97.09,300,10024,87,2237,31.66,1390829,89052.9969,2150,0:03:50,22876303,4.84
Let's Rewind Pakistan's Record Huge Run Chase | Pakistan vs Australia | 2nd ODI 2022 | PCB | MM2A,24-Mar-23,5335,0,19,81,2137,95.26,284,5713,60,2271,35.84,1303125,67712.6159,2211,0:03:07,19048477,5.48
Highlights | Pakistan vs South Africa | T20I | CSA | MJ2A,12-Feb-23,5282,0,2,71,2011,97.11,189,6349,67,1006,35.12,601975,64591.9989,939,0:06:26,10147668,4.44
Let's Rewind Pakistan's Historic Chase Against Kiwis | Pakistan vs New Zealand | ODI | PCB | M2B2A,24-May-23,5223,0,1418,59,2075,97.54,204,8082,52,1565,35.17,752398,46893.6773,1513,0:03:44,10464468,5.61
Highlights | Pakistan vs West Indies | 1st T20I | PCB | MA2E,17-Apr-21,5012,0,,19,577,96.48,87,2386,16,349,34.43,245680,27210.7798,333,0:06:38,3280068,5.72
Unbelievable Run Chase By Pakistan | Pakistan vs West Indies | PCB | MO2L,7-Jul-23,4993,0,6,109,2033,96.7,360,10538,109,1810,33.52,1052141,99446.558,1701,0:05:40,17268910,4.63
National Anthem of Pakistan | Pakistan vs New Zealand | 1st ODI 2023 | PCB | M2B2A,27-Apr-23,4956,0,4,246,7020,96.5,220,6069,65,1248,57.57,483081,6334.8797,1183,0:00:47,3689540,10.88
PSL 9 | Winning Moments | Multan Sultans vs Islamabad United | Match 34 Final | M1Z2A,18-Mar-24,4954,0,397,110,1937,98.24,63,3517,22,366,51,350892,5667.3948,344,0:00:58,1544915,12.01
Full Highlights | Pakistan vs South Africa | 3rd T20I 2021 | PCB | ME2E,14-Feb-21,4807,0,4,27,2025,94.87,238,4399,63,1148,31.97,491027,44789.8626,1085,0:05:28,7402603,4.62
Shahid Afridi vs Shaheen Shah Afridi | Lahore Qalandars vs Karachi Kings | HBL PSL 2018 | MB2A,30-May-23,4777,0,1,121,3703,97.42,149,5631,47,1208,64.12,893404,18140.4676,1161,0:01:13,11383283,6.86
When Dreams Come True | Shaheen and Amir Bowling Together 🦅 🤩 | DP World ILT20,24-Jan-24,4751,0,3,54,1343,99.5,10,2004,26,236,63.49,205942,2179.1341,210,0:00:38,1098578,10.69
3rd T20I Century By Babar Azam | High Scoring Thriller | Pakistan vs New Zealand |T20I | PCB | M2B2A,22-Oct-23,4705,0,21,68,1260,98.08,134,6829,68,840,31.19,603390,55049.3209,772,0:05:28,8537006,5.38
PSL 9 | 2nd Innings Highlights | Multan Sultans vs Islamabad United | Match 34 Final | M2A1A,18-Mar-24,4664,0,5097,90,768,98.02,53,2620,17,275,62.22,228235,19763.6452,258,0:05:11,1159484,16.99
Naseem Shah & Abrar Ahmed's Crucial Partnership | Pakistan vs New Zealand | Test | PCB | MZ2A,18-May-23,4633,1,5,32,594,98.13,80,4190,49,626,33.55,681987,30891.8812,577,0:02:43,8823473,6.32
Worst Start But Thrilling End | Pakistan vs India | Historical Match Ever | 3rd Test | MA2T,24-Mar-21,4596,0,8,269,1321,95.94,266,6289,80,1291,21.33,716825,75489.5402,1211,0:06:19,12965842,4.43
Beautiful Innings By Imam But Ended With Killer Bouncer | Pakistan vs New Zealand | PCB | MA2E,24-Nov-21,4576,0,33,61,543,95.04,53,1015,41,322,48.94,344835,5109.4961,281,0:00:53,2771516,11.62
Iftikhar Ahmed's 6️⃣ sixes and 3️⃣ fours in a fiery half-century vs New Zealand | PCB | M2B2A,4-Jul-23,4574,3,3,108,3104,98.18,119,6418,57,870,43.96,695653,23700.2488,813,0:02:02,8964248,5.97
PSL 9 | Top Catches in HBL PSL 9 so Far! | M1Z2A,3-Mar-24,4480,0,106,32,819,98.18,17,916,13,120,60.79,89319,1779.8474,107,0:01:11,1090180,6.05
Highlights | Pakistan vs England | T20I | PCB | MU2A,14-Mar-23,4467,0,1,85,1396,96.29,257,6673,44,1393,35.84,628483,63199.3424,1349,0:06:02,7728813,6.01
Fakhar Zaman & Mohammad Rizwan Helps Pakistan to Chase the Target of 3️⃣3️⃣7️⃣ | PCB | M2B2A,2-Nov-23,4318,0,12,48,1009,96.43,206,5557,61,1092,27.72,760553,73857.7777,1031,0:05:49,8797495,6.69
Highlights | Pakistan vs New Zealand | ODI | PCB | M2B2A,9-May-23,4264,0,119,46,3712,95.77,402,9110,87,2262,24.61,1133470,97727.2603,2175,0:05:10,13390713,6.83
Azam Khan vs Mohammad Amir | Mohammad Amir Got Angry 😡🗯 | Epic Scenes in HBL PSL | MI2A,13-Jan-24,4192,0,,51,467,95.26,106,2132,24,412,49.56,501536,16225.2631,388,0:01:56,5664558,7.48
Match Winning Batting By Boom Boom Shahid Afridi | Pakistan vs Sri Lanka | 1st T20I 2013 |PCB | MA2A,15-May-23,4167,0,22,67,4430,96.58,184,5191,51,1319,47.7,673042,28980.4948,1268,0:02:35,6723263,8
Low Scoring But Thrilling End | Unbelievable Victory | Pakistan vs England | T20I | PCB | MU2A,3-Feb-24,4061,0,7,52,939,95.83,253,5807,52,1078,34.04,586879,55381.0918,1026,0:05:39,9367344,4.42
Babar Azam vs Mohammad Amir | Karachi Kings vs Peshawar Zalmi | Match 2 | HBL PSL 8 | MI2A,14-Feb-23,4061,3,3,155,2557,96.66,154,4460,51,697,52.62,621717,15902.0409,646,0:01:32,7322335,7.37
